Country,Region,Population,Area_In_Sq_mi,Population_Density_Sq_Mi,Net_Migration,Infant_Mortality_per_1000_Births,GDP_Per_Capita,Literacy_Percent,Phones_per_1000,Arable_Percent,Birthrate,Deathrate,Agriculture,Industry,Service
Senegal,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.2,55.51,1600,40.2,22.2,12.78,32.78,9.42,0.172,0.209,0.619
Serbia,EASTERN EUROPE                     ,9396411,88361,106.3,-1.33,12.89,2200,93,285.8,33.35,,,0.166,0.255,0.579
Seychelles,SUB-SAHARAN AFRICA                 ,81541,455,179.2,-5.69,15.53,7800,58,262.4,2.22,16.03,6.29,0.032,0.304,0.665
Sierra Leone,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,0,143.64,500,31.4,4,6.98,45.76,23.03,0.49,0.31,0.21
Singapore,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,11.53,2.29,23700,92.5,411.4,1.64,9.34,4.28,0,0.339,0.661
Slovakia,EASTERN EUROPE                     ,5439448,48845,111.4,0.3,7.41,13300,,220.1,30.16,10.65,9.45,0.035,0.294,0.672
Slovenia,EASTERN EUROPE                     ,2010347,20273,99.2,1.12,4.45,19000,99.7,406.1,8.6,8.98,10.31,0.028,0.369,0.603
Solomon Islands,OCEANIA                            ,552438,28450,19.4,0,21.29,1700,,13.4,0.64,30.01,3.92,0.42,0.11,0.47
Somalia,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,5.37,116.7,500,37.8,11.3,1.67,45.13,16.63,0.65,0.1,0.25
South Africa,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,-0.29,61.81,10700,86.4,107,12.08,18.2,22,0.025,0.303,0.671
Spain,WESTERN EUROPE                     ,40397842,504782,80,0.99,4.42,22000,97.9,453.5,26.07,10.06,9.72,0.04,0.295,0.665
Sri Lanka,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,-1.31,14.35,3700,92.3,61.5,13.86,15.51,6.52,0.178,0.276,0.545
Sudan,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,-0.02,62.5,1900,61.1,16.3,6.83,34.53,8.97,0.387,0.203,0.41
Suriname,LATIN AMER. & CARIB    ,439117,163270,2.7,-8.81,23.57,4000,93,184.7,0.37,18.02,7.27,0.13,0.22,0.65
Swaziland,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,0,69.27,4900,81.6,30.8,10.35,27.41,29.74,0.119,0.515,0.366
Sweden,WESTERN EUROPE                     ,9016596,449964,20,1.67,2.77,26800,99,715,6.54,10.27,10.31,0.011,0.282,0.707
Switzerland,WESTERN EUROPE                     ,7523934,41290,182.2,4.05,4.39,32700,99,680.9,10.42,9.71,8.49,0.015,0.34,0.645
Syria,NEAR EAST                          ,18881361,185180,102,0,29.53,3300,76.9,153.8,25.22,27.76,4.81,0.249,0.23,0.519
Taiwan,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,0,6.4,23400,96.1,591,24,12.56,6.48,0.018,0.259,0.723
Tajikistan,C.W. OF IND. STATES ,7320815,143100,51.2,-2.86,110.76,1000,99.4,33.5,6.61,32.65,8.25,0.234,0.286,0.48
Tanzania,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,-2.06,98.54,600,78.2,4,4.52,37.71,16.39,0.432,0.172,0.396
Thailand,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0,20.48,7400,92.6,108.9,29.36,13.87,7.04,0.099,0.441,0.46
Togo,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,0,66.61,1500,60.9,10.6,46.15,37.01,9.83,0.395,0.204,0.401
Tonga,OCEANIA                            ,114689,748,153.3,0,12.62,2200,98.5,97.7,23.61,25.37,5.28,0.23,0.27,0.5
Trinidad & Tobago,LATIN AMER. & CARIB    ,1065842,5128,207.9,-10.83,24.31,9500,98.6,303.5,14.62,12.9,10.57,0.007,0.57,0.423
Tunisia,NORTHERN AFRICA                    ,10175014,163610,62.2,-0.57,24.77,6900,74.2,123.6,17.86,15.52,5.13,0.132,0.318,0.55
Turkey,NEAR EAST                          ,70413958,780580,90.2,0,41.04,6700,86.5,269.5,30.93,16.62,5.97,0.117,0.298,0.585
Turkmenistan,C.W. OF IND. STATES ,5042920,488100,10.3,-0.86,73.08,5800,98,74.6,3.72,27.61,8.6,0.209,0.38,0.411
Turks & Caicos Is,LATIN AMER. & CARIB    ,21152,430,49.2,11.68,15.67,9600,98,269.5,2.33,21.84,4.21,,,
Tuvalu,OCEANIA                            ,11810,26,454.2,0,20.03,1100,,59.3,0,22.18,7.11,0.166,0.272,0.562
Uganda,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0,67.83,1400,69.9,3.6,25.88,47.35,12.24,0.311,0.222,0.469
Ukraine,C.W. OF IND. STATES ,46710816,603700,77.4,-0.39,20.34,5400,99.7,259.9,56.21,8.82,14.39,0.187,0.452,0.361
United Arab Emirates,NEAR EAST                          ,2602713,82880,31.4,1.03,14.51,23200,77.9,475.3,0.6,18.96,4.4,0.04,0.585,0.375
United Kingdom,WESTERN EUROPE                     ,60609153,244820,247.6,2.19,5.16,27700,99,543.5,23.46,10.71,10.13,0.005,0.237,0.758
United States,NORTHERN AMERICA                   ,298444215,9631420,31,3.41,6.5,37800,97,898,19.13,14.14,8.26,0.01,0.204,0.787
Uruguay,LATIN AMER. & CARIB    ,3431932,176220,19.5,-0.32,11.95,12800,98,291.4,7.43,13.91,9.05,0.093,0.311,0.596
Uzbekistan,C.W. OF IND. STATES ,27307134,447400,61,-1.72,71.1,1700,99.3,62.9,10.83,26.36,7.84,0.342,0.229,0.43
Vanuatu,OCEANIA                            ,208869,12200,17.1,0,55.16,2900,53,32.6,2.46,22.72,7.82,0.26,0.12,0.62
Venezuela,LATIN AMER. & CARIB    ,25730435,912050,28.2,-0.04,22.2,4800,93.4,140.1,2.95,18.71,4.92,0.04,0.419,0.541
Vietnam,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,-0.45,25.95,2500,90.3,187.7,19.97,16.86,6.22,0.209,0.41,0.381
Virgin Islands,LATIN AMER. & CARIB    ,108605,1910,56.9,-8.94,8.03,17200,,652.8,11.76,13.96,6.43,0.01,0.19,0.8
Wallis and Futuna,OCEANIA                            ,16025,274,58.5,,,3700,50,118.6,5,,,,,
West Bank,NEAR EAST                          ,2460492,5860,419.9,2.98,19.62,800,,145.2,16.9,31.67,3.92,0.09,0.28,0.63
Western Sahara,NORTHERN AFRICA                    ,273008,266000,1,,,,,,0.02,,,,,0.4
Yemen,NEAR EAST                          ,21456188,527970,40.6,0,61.5,800,50.2,37.2,2.78,42.89,8.3,0.135,0.472,0.393
Zambia,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0,88.29,800,80.6,8.2,7.08,41,19.93,0.22,0.29,0.489
Zimbabwe,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0,67.69,1900,90.7,26.8,8.32,28.01,21.84,0.179,0.243,0.579
